"community","fun"
"Ap,Hop,Ku",0.510747176056731
"Ap,Hop,Lt",0.799087798370171
"Ap,Hop,Mp",0.39311690625519
"Ap,Hop,Pk",0.467452797280034
"Ap,Hop,Sc5",0.840424864389826
"Ap,Hop,Sc8",0.860496701803756
"Ap,Hop,Sp",0.752681758597449
"Ap,Hop,Td",0.64175546278622
"Ap,Hop,Wa",0.387764506164801
"Ap,Hop,Zb",0.563184527154579
"Ap,Ku,Lt",0.775283564827129
"Ap,Ku,Mp",0.308195009183162
"Ap,Ku,Pk",0.330264297334109
"Ap,Ku,Sc5",0.847137367676689
"Ap,Ku,Sc8",0.860962131784652
"Ap,Ku,Sp",0.637766810781539
"Ap,Ku,Td",0.549736207717112
"Ap,Ku,Wa",0.341775030454667
"Ap,Ku,Zb",0.519511474680948
"Ap,Lt,Mp",0.732482809467976
"Ap,Lt,Pk",0.760761990540337
"Ap,Lt,Sc5",0.902865808879607
"Ap,Lt,Sc8",0.901430700654209
"Ap,Lt,Sp",0.882547966469741
"Ap,Lt,Td",0.838752123472984
"Ap,Lt,Wa",0.842614464969258
"Ap,Lt,Zb",0.871546560677573
"Ap,Mp,Pk",0.278729101446302
"Ap,Mp,Sc5",0.791556321717741
"Ap,Mp,Sc8",0.827926659968069
"Ap,Mp,Sp",0.629876436174951
"Ap,Mp,Td",0.498466673360021
"Ap,Mp,Wa",0.166909829098624
"Ap,Mp,Zb",0.335136055497201
"Ap,Pk,Sc5",0.720794171336039
"Ap,Pk,Sc8",0.741085545410762
"Ap,Pk,Sp",0.65701422680644
"Ap,Pk,Td",0.468095138325456
"Ap,Pk,Wa",0.200974717963561
"Ap,Pk,Zb",0.349676290559965
"Ap,Sc5,Sc8",0.916494809282471
"Ap,Sc5,Sp",0.899480363415429
"Ap,Sc5,Td",0.859486613028608
"Ap,Sc5,Wa",0.842066087554779
"Ap,Sc5,Zb",0.86858342162586
"Ap,Sc8,Sp",0.901846940861663
"Ap,Sc8,Td",0.871460297605131
"Ap,Sc8,Wa",0.867099137458561
"Ap,Sc8,Zb",0.884006333789765
"Ap,Sp,Td",0.748051471661122
"Ap,Sp,Wa",0.805123498848276
"Ap,Sp,Zb",0.798371876583496
"Ap,Td,Wa",0.440714530368406
"Ap,Td,Zb",0.58057863411999
"Ap,Wa,Zb",0.31429990834493
"Hop,Ku,Lt",0.7514360227856
"Hop,Ku,Mp",0.359421526811944
"Hop,Ku,Pk",0.407468702064391
"Hop,Ku,Sc5",0.814566162988562
"Hop,Ku,Sc8",0.836509986856441
"Hop,Ku,Sp",0.629924876420459
"Hop,Ku,Td",0.622807814916263
"Hop,Ku,Wa",0.39381380113283
"Hop,Ku,Zb",0.58470029258942
"Hop,Lt,Mp",0.71054095184194
"Hop,Lt,Pk",0.737759298856734
"Hop,Lt,Sc5",0.87799355629857
"Hop,Lt,Sc8",0.882129239039325
"Hop,Lt,Sp",0.854508042354334
"Hop,Lt,Td",0.823723404847447
"Hop,Lt,Wa",0.793778324890968
"Hop,Lt,Zb",0.83761166593801
"Hop,Mp,Pk",0.370487318838271
"Hop,Mp,Sc5",0.768022576198255
"Hop,Mp,Sc8",0.808570438371477
"Hop,Mp,Sp",0.612585239061431
"Hop,Mp,Td",0.59230937914371
"Hop,Mp,Wa",0.259909345674374
"Hop,Mp,Zb",0.45437920715747
"Hop,Pk,Sc5",0.725647966237808
"Hop,Pk,Sc8",0.750150524941976
"Hop,Pk,Sp",0.645814236244848
"Hop,Pk,Td",0.588043357404831
"Hop,Pk,Wa",0.331421568299709
"Hop,Pk,Zb",0.497354168605294
"Hop,Sc5,Sc8",0.896238407744969
"Hop,Sc5,Sp",0.866931267323917
"Hop,Sc5,Td",0.854268751114547
"Hop,Sc5,Wa",0.811461872808461
"Hop,Sc5,Zb",0.855440743191598
"Hop,Sc8,Sp",0.876736485429798
"Hop,Sc8,Td",0.865223577926896
"Hop,Sc8,Wa",0.843977777914458
"Hop,Sc8,Zb",0.872847806148763
"Hop,Sp,Td",0.753070429944344
"Hop,Sp,Wa",0.744149975083533
"Hop,Sp,Zb",0.774248052334145
"Hop,Td,Wa",0.56863980163676
"Hop,Td,Zb",0.694313290409395
"Hop,Wa,Zb",0.461773869534083
"Ku,Lt,Mp",0.68442247464842
"Ku,Lt,Pk",0.705028790834259
"Ku,Lt,Sc5",0.871154258739992
"Ku,Lt,Sc8",0.87463998782055
"Ku,Lt,Td",0.800993526698249
"Ku,Lt,Wa",0.776396240204258
"Ku,Lt,Zb",0.8218910138373
"Ku,Mp,Pk",0.237086801956372
"Ku,Mp,Sc5",0.773975508963257
"Ku,Mp,Sc8",0.808738724152158
"Ku,Mp,Sp",0.494449492946905
"Ku,Mp,Td",0.50326421582936
"Ku,Mp,Wa",0.216930304933204
"Ku,Mp,Zb",0.41262684643607
"Ku,Pk,Sc5",0.712740196851683
"Ku,Pk,Sc8",0.736301059561899
"Ku,Pk,Sp",0.515658318181669
"Ku,Pk,Td",0.470492696019043
"Ku,Pk,Wa",0.224307116779009
"Ku,Pk,Zb",0.407561474171072
